Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Product Type,Division,Unit
United Arab Emirates,1 170,1 580,1 950,2 156,2 549,2 765,2 959,3 126,3 246,3 167,Hot Rolled Products,Middle East,thousand metric tons
,,,,,,,,,,,,,
China (3),693 405,802 014,885 195,950 641,1 086 926,1 125 131,1 034 684,1 048 135,1 046 421,1 105 517,Hot Rolled Products,Asia,thousand metric tons
China (4),578 836,655 160,717 670,768 026,859 521,872 637,849 485,814 556,814 085,855 403 e,Hot Rolled Products,Asia,thousand metric tons
India (5),59 355,66 120,74 521,80 198,85 277,92 470,89 927,99 312,119 892,100 574,Hot Rolled Products,Asia,thousand metric tons
Indonesia,5 092,5 212,5 448,5 418,5 116,6 475,6 168,6 552,7 866,10 045,Hot Rolled Products,Asia,thousand metric tons
Japan,76 686,97 765,94 832,94 807,96 965,97 882,93 020,92 636,92 441,92 440,Hot Rolled Products,Asia,thousand metric tons
South Korea,51 057,59 031,66 473,66 317,64 541,68 905,67 756,67 131,69 557,69 785,Hot Rolled Products,Asia,thousand metric tons
Malaysia,5 103,4 967,5 111,4 954,4 980,4 759,4 226,3 782,3 772,3 801,Hot Rolled Products,Asia,thousand metric tons
Philippines,1 977,2 133,2 420,2 653,3 020,3 273,4 013,4 346,4 300,4 864,Hot Rolled Products,Asia,thousand metric tons
Singapore,689,716,750,705,429,540,501,528,596,584,Hot Rolled Products,Asia,thousand metric tons
"Taiwan, China",18 385,23 493,24 578,24 277,24 845,25 472,25 019,26 639,27 664,28 513,Hot Rolled Products,Asia,thousand metric tons
Thailand,6 955,7 483,6 936,6 721,7 070,8 710,3 841,9 542,9 318,9 032,Hot Rolled Products,Asia,thousand metric tons
Viet Nam,4 723,5 659,5 470,5 049,5 123,5 657,7 199,8 657,11 302,14 532,Hot Rolled Products,Asia,thousand metric tons
,,,,,,,,,,,,,
Australia,4 789,6 327,6 082,5 078,4 400,4 092,4 307,4 693,4 606,4 680,Hot Rolled Products,Oceania,thousand metric tons
New Zealand (e),710,810,800,845,830,780,735,650,740,735 e,Hot Rolled Products,Oceania,thousand metric tons
