Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Import/Export,Product Type
Brazil,2 357,5 904,3 783,3 777,3 683,3 947,3 195,1 864,2 313,2 373,South America,Import,Semi-finished and Finished Steel
Chile,678,1 790,1 377,1 557,1 696,1 729,1 905,1 798,1 899,2 076,South America,Import,Semi-finished and Finished Steel
Colombia,1 606,1 987,2 439,1 894,2 628,3 125,2 912,2 748,2 486,2 863,South America,Import,Semi-finished and Finished Steel
Ecuador,793,927,1 195,1 095,1 236,1 283,1 027,927,1 096,851,South America,Import,Semi-finished and Finished Steel
Paraguay,110,196,272,264,339,390,303,328,371,474,South America,Import,Semi-finished and Finished Steel
Peru,996,1 779,1 862,1 573,1 880,2 015,2 209,2 247,1 859,2 176,South America,Import,Semi-finished and Finished Steel
Uruguay,102,131,195,141,189,212,215,156,177,172,South America,Import,Semi-finished and Finished Steel
Venezuela,417,471,644,1 011,980,897,725,318,128,44,South America,Import,Semi-finished and Finished Steel
Other South America,46,23,72,78,86,86,110,82,90,110,South America,Import,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Algeria,5 510,3 654,3 947,4 723,5 126,5 975,6 300,5 465,4 619,3 181,Africa,Import,Semi-finished and Finished Steel
Cameroon,170,159,158,234,233,269,281,243,195,221,Africa,Import,Semi-finished and Finished Steel
Egypt,5 625,3 324,2 574,3 654,4 237,6 167,7 881,9 197,5 538,421,Africa,Import,Semi-finished and Finished Steel
Ghana,414,479,779,716,699,767,889,836,704,753,Africa,Import,Semi-finished and Finished Steel
Ivory Coast,168,208,191,205,266,301,345,397,413,399,Africa,Import,Semi-finished and Finished Steel
Kenya,821,797,1 207,949,1 308,1 333,1 708,1 491,1 364,1 415,Africa,Import,Semi-finished and Finished Steel
Libya,1 439,1 147,154,746,967,610,419,173,136,383,Africa,Import,Semi-finished and Finished Steel
Morocco,1 954,1 411,1 421,1 294,1 641,1 670,2 019,2 152,1 535,1 496,Africa,Import,Semi-finished and Finished Steel
Nigeria,1 783,1 341,1 762,1 753,2 193,1 955,1 677,1 209,1 022,1 497,Africa,Import,Semi-finished and Finished Steel
Senegal,267,338,403,368,313,386,419,517,476,593,Africa,Import,Semi-finished and Finished Steel
South Africa,635,843,1 259,1 108,1 759,1 418,1 699,1 392,1 186,1 024,Africa,Import,Semi-finished and Finished Steel
