Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Product Type,Division,Unit
Colombia,1466,1621,1780,1726,1651,1795,1860,1772,1895,1647,Hot Rolled Products,South America,thousand metric tons
Ecuador,442,546,489,559,691,707,761,682,710,738,Hot Rolled Products,South America,thousand metric tons
Paraguay,42,44,27,22,23,23,24,19,21,22,Hot Rolled Products,South America,thousand metric tons
Peru,871,1046,913,1205,1358,1434,1335,1417,1517,1505,Hot Rolled Products,South America,thousand metric tons
Uruguay,55,59,72,74,76,79,81,75,66,68,Hot Rolled Products,South America,thousand metric tons
Venezuela,3204,2054,2658,2065,1948,1357,1261,530,404,131,Hot Rolled Products,South America,thousand metric tons
Algeria,510,560,470,470,400,520,1050,1100,1950,2850,Hot Rolled Products,Africa,thousand metric tons
Egypt,6352,7939,6588,7265,7438,8137,7676,8001,8059,9598,Hot Rolled Products,Africa,thousand metric tons
Libya,1370,945,65,310,690,650,440,430,410,650,Hot Rolled Products,Africa,thousand metric tons
Morocco,963,1035,1090,855,1035,970,1200,1200,950,1000,Hot Rolled Products,Africa,thousand metric tons
South Africa,5550,5820,5850,5400,5800,5583,5700,5450,5600,5650,Hot Rolled Products,Africa,thousand metric tons
Tunisia,400,500,395,370,440,440,490,400,500,500,Hot Rolled Products,Africa,thousand metric tons
Iran,9880,15395,16813,17261,16656,16482,15133,15473,15920,17212,Hot Rolled Products,Middle East,thousand metric tons
Qatar,1468,1550,1580,1650,1696,1709,1784,1894,1745,1847,Hot Rolled Products,Middle East,thousand metric tons
Saudi Arabia,4130,4420,4650,4600,4900,5000,5500,5000,4500,5000,Hot Rolled Products,Middle East,thousand metric tons
United Arab Emirates,1170,1580,1950,2156,2549,2765,2959,3126,3246,3167,Hot Rolled Products,Middle East,thousand metric tons
China,693405,802014,885195,950641,1086926,1125131,1034684,1048135,1046421,1105517,Hot Rolled Products,Asia,thousand metric tons
China,578836,655160,717670,768026,859521,872637,849485,814556,814085,855403,Hot Rolled Products,Asia,thousand metric tons
India,59355,66120,74521,80198,85277,92470,89927,99312,119892,100574,Hot Rolled Products,Asia,thousand metric tons
Indonesia,5092,5212,5448,5418,5116,6475,6168,6552,7866,10045,Hot Rolled Products,Asia,thousand metric tons
Japan,76686,97765,94832,94807,96965,97882,93020,92636,92441,92440,Hot Rolled Products,Asia,thousand metric tons
South Korea,51057,59031,66473,66317,64541,68905,67756,67131,69557,69785,Hot Rolled Products,Asia,thousand metric tons
Malaysia,5103,4967,5111,4954,4980,4759,4226,3782,3772,3801,Hot Rolled Products,Asia,thousand metric tons
Philippines,1977,2133,2420,2653,3020,3273,4013,4346,4300,4864,Hot Rolled Products,Asia,thousand metric tons
Singapore,689,716,750,705,429,540,501,528,596,584,Hot Rolled Products,Asia,thousand metric tons
"Taiwan, China",18385,23493,24578,24277,24845,25472,25019,26639,27664,28513,Hot Rolled Products,Asia,thousand metric tons
Thailand,6955,7483,6936,6721,7070,8710,3841,9542,9318,9032,Hot Rolled Products,Asia,thousand metric tons
Viet Nam,4723,5659,5470,5049,5123,5657,7199,8657,11302,14532,Hot Rolled Products,Asia,thousand metric tons
Australia,4789,6327,6082,5078,4400,4092,4307,4693,4606,4680,Hot Rolled Products,Oceania,thousand metric tons
New Zealand,710,810,800,845,830,780,735,650,740,735,Hot Rolled Products,Oceania,thousand metric tons
