Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Import/Export,Product Type
Malaysia,2920.0,2294.0,2746.0,2319.0,1618.0,2100.0,1823.0,1428.0,1725.0,1693.0,Asia,Export,Semi-finished and Finished Steel
Myanmar,0.0,0.0,2.0,5.0,2.0,0.0,2.0,1.0,7.0,5.0,Asia,Export,Semi-finished and Finished Steel
Pakistan,585.0,1063.0,292.0,220.0,159.0,224.0,53.0,65.0,117.0,543.0,Asia,Export,Semi-finished and Finished Steel
Philippines,76.0,57.0,105.0,140.0,65.0,149.0,21.0,29.0,37.0,33.0,Asia,Export,Semi-finished and Finished Steel
Singapore,1691.0,1904.0,2312.0,2252.0,2275.0,2155.0,1729.0,1708.0,1479.0,1634.0,Asia,Export,Semi-finished and Finished Steel
Sri Lanka,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,Asia,Export,Semi-finished and Finished Steel
"Taiwan, China",9953.0,10001.0,10545.0,10539.0,11559.0,12086.0,11177.0,12233.0,12117.0,12285.0,Asia,Export,Semi-finished and Finished Steel
Thailand,1587.0,1776.0,1599.0,1569.0,1504.0,1414.0,1254.0,1460.0,1853.0,1916.0,Asia,Export,Semi-finished and Finished Steel
Viet Nam,151.0,695.0,1137.0,1280.0,1383.0,1523.0,1512.0,2537.0,4034.0,5368.0,Asia,Export,Semi-finished and Finished Steel
Other Asia,1039.0,189.0,1203.0,1384.0,952.0,985.0,1127.0,1159.0,1258.0,1505.0,Asia,Export,Semi-finished and Finished Steel
Australia,928.0,1659.0,1389.0,641.0,631.0,683.0,841.0,776.0,979.0,998.0,Oceania,Export,Semi-finished and Finished Steel
New Zealand,275.0,406.0,448.0,421.0,475.0,287.0,347.0,188.0,192.0,221.0,Oceania,Export,Semi-finished and Finished Steel
Other Oceania,2.0,1.0,21.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,Oceania,Export,Semi-finished and Finished Steel
Austria,2969.0,3253.0,3830.0,3674.0,3320.0,3739.0,4194.0,4328.0,4590.0,4810.0,European Union (28),Import,Semi-finished and Finished Steel
Belgium,9687.0,11481.0,13309.0,10557.0,10109.0,10743.0,12073.0,13007.0,14073.0,14845.0,European Union (28),Import,Semi-finished and Finished Steel
Bulgaria,1029.0,1012.0,1503.0,1353.0,1513.0,1878.0,1741.0,1969.0,1799.0,1994.0,European Union (28),Import,Semi-finished and Finished Steel
Croatia,822.0,731.0,678.0,657.0,632.0,680.0,772.0,844.0,821.0,800.0,European Union (28),Import,Semi-finished and Finished Steel
Cyprus,305.0,341.0,231.0,162.0,131.0,109.0,144.0,154.0,252.0,337.0,European Union (28),Import,Semi-finished and Finished Steel
Czech Republic,4161.0,5482.0,5828.0,5921.0,5791.0,5750.0,6146.0,6477.0,7075.0,7370.0,European Union (28),Import,Semi-finished and Finished Steel
Denmark,1624.0,1944.0,2442.0,2250.0,2249.0,2246.0,2436.0,2535.0,2504.0,2592.0,European Union (28),Import,Semi-finished and Finished Steel
Estonia,295.0,495.0,624.0,511.0,433.0,455.0,422.0,540.0,611.0,682.0,European Union (28),Import,Semi-finished and Finished Steel
Germany,17656.0,22733.0,24854.0,22729.0,21881.0,24263.0,24817.0,26620.0,27094.0,26584.0,European Union (28),Import,Semi-finished and Finished Steel
Finland,972.0,1408.0,1406.0,1055.0,1017.0,1025.0,962.0,1078.0,1995.0,1465.0,European Union (28),Import,Semi-finished and Finished Steel
France,11439.0,14178.0,14715.0,13163.0,13154.0,13418.0,13656.0,14570.0,15073.0,14882.0,European Union (28),Import,Semi-finished and Finished Steel
Greece,1708.0,1383.0,1372.0,1072.0,1162.0,1262.0,1173.0,1424.0,1363.0,1600.0,European Union (28),Import,Semi-finished and Finished Steel
Hungary,1272.0,1540.0,1860.0,2126.0,2899.0,2613.0,2275.0,2710.0,2783.0,3058.0,European Union (28),Import,Semi-finished and Finished Steel
Ireland,390.0,459.0,440.0,457.0,451.0,544.0,658.0,684.0,760.0,810.0,European Union (28),Import,Semi-finished and Finished Steel
Italy,12550.0,16307.0,17478.0,13899.0,15626.0,16632.0,19936.0,19616.0,20091.0,20619.0,European Union (28),Import,Semi-finished and Finished Steel
Latvia,500.0,660.0,908.0,591.0,650.0,721.0,864.0,827.0,702.0,937.0,European Union (28),Import,Semi-finished and Finished Steel
Lithuania,440.0,560.0,693.0,744.0,780.0,858.0,894.0,1048.0,1060.0,1142.0,European Union (28),Import,Semi-finished and Finished Steel
Luxembourg,1144.0,1439.0,1258.0,1041.0,1193.0,1153.0,1139.0,1158.0,1057.0,1210.0,European Union (28),Import,Semi-finished and Finished Steel
Malta,45.0,56.0,34.0,33.0,31.0,41.0,44.0,42.0,42.0,56.0,European Union (28),Import,Semi-finished and Finished Steel
Netherlands,6309.0,6853.0,8293.0,7557.0,6144.0,6963.0,6803.0,8359.0,8820.0,10329.0,European Union (28),Import,Semi-finished and Finished Steel
Poland,5359.0,6386.0,7551.0,7845.0,7993.0,9125.0,9214.0,10105.0,10652.0,12061.0,European Union (28),Import,Semi-finished and Finished Steel
Portugal,2226.0,2351.0,2026.0,1900.0,2472.0,2521.0,2740.0,2803.0,3066.0,3140.0,European Union (28),Import,Semi-finished and Finished Steel
Romania,2095.0,2770.0,3374.0,2930.0,2784.0,3216.0,3454.0,3511.0,3833.0,4102.0,European Union (28),Import,Semi-finished and Finished Steel
Slovak Republic,1578.0,2127.0,2343.0,2127.0,2446.0,2552.0,2677.0,2940.0,3004.0,2994.0,European Union (28),Import,Semi-finished and Finished Steel
Slovenia,1070.0,1124.0,1275.0,1136.0,1125.0,1223.0,1407.0,1483.0,1553.0,1745.0,European Union (28),Import,Semi-finished and Finished Steel
Spain,7040.0,8630.0,8449.0,7329.0,7401.0,8127.0,8885.0,9391.0,9948.0,10779.0,European Union (28),Import,Semi-finished and Finished Steel
Sweden,2788.0,3843.0,4578.0,3727.0,3154.0,3144.0,3077.0,3433.0,3751.0,4403.0,European Union (28),Import,Semi-finished and Finished Steel
United Kingdom,4374.0,6297.0,7462.0,7140.0,6349.0,7403.0,7182.0,7652.0,7847.0,7889.0,European Union (28),Import,Semi-finished and Finished Steel
Albania,389.0,253.0,259.0,257.0,181.0,173.0,238.0,394.0,250.0,233.0,Other Europe,Import,Semi-finished and Finished Steel
Bosnia-Herzegovina,220.0,315.0,316.0,281.0,278.0,268.0,314.0,418.0,459.0,470.0,Other Europe,Import,Semi-finished and Finished Steel
Iceland,31.0,34.0,35.0,37.0,106.0,40.0,50.0,62.0,59.0,65.0,Other Europe,Import,Semi-finished and Finished Steel
Macedonia,447.0,538.0,404.0,360.0,340.0,448.0,515.0,764.0,553.0,571.0,Other Europe,Import,Semi-finished and Finished Steel
Montenegro,21.0,16.0,17.0,19.0,25.0,25.0,66.0,76.0,126.0,46.0,Other Europe,Import,Semi-finished and Finished Steel
Norway,960.0,853.0,1031.0,1004.0,954.0,1419.0,1000.0,1001.0,1139.0,1101.0,Other Europe,Import,Semi-finished and Finished Steel
Serbia,774.0,562.0,471.0,618.0,622.0,672.0,665.0,647.0,743.0,884.0,Other Europe,Import,Semi-finished and Finished Steel
Switzerland,1856.0,2280.0,2485.0,2426.0,2438.0,2454.0,2330.0,2498.0,2544.0,2590.0,Other Europe,Import,Semi-finished and Finished Steel
Turkey,10236.0,10746.0,10304.0,11499.0,14462.0,13394.0,18614.0,17009.0,15814.0,14043.0,Other Europe,Import,Semi-finished and Finished Steel
Other Europe,195.0,3020.0,242.0,121.0,127.0,123.0,205.0,120.0,151.0,132.0,Other Europe,Import,Semi-finished and Finished Steel
Armenia,113.0,111.0,79.0,80.0,76.0,80.0,72.0,91.0,107.0,143.0,C.I.S.,Import,Semi-finished and Finished Steel
Azerbaijan,667.0,793.0,912.0,1060.0,1257.0,1248.0,839.0,561.0,536.0,660.0,C.I.S.,Import,Semi-finished and Finished Steel
Belarus,1482.0,2079.0,1972.0,2210.0,2342.0,1880.0,1481.0,1514.0,1777.0,1881.0,C.I.S.,Import,Semi-finished and Finished Steel
Georgia,206.0,282.0,311.0,374.0,391.0,451.0,412.0,460.0,445.0,507.0,C.I.S.,Import,Semi-finished and Finished Steel
Kazakhstan,2295.0,1134.0,1316.0,1667.0,1201.0,1660.0,505.0,444.0,403.0,421.0,C.I.S.,Import,Semi-finished and Finished Steel
Kyrgyzstan,136.0,134.0,181.0,265.0,321.0,343.0,301.0,288.0,278.0,313.0,C.I.S.,Import,Semi-finished and Finished Steel
Moldova,121.0,124.0,138.0,178.0,178.0,208.0,151.0,166.0,150.0,164.0,C.I.S.,Import,Semi-finished and Finished Steel
Russia,3586.0,5229.0,7199.0,6897.0,6571.0,6442.0,4364.0,4448.0,6505.0,6375.0,C.I.S.,Import,Semi-finished and Finished Steel
Tajikistan,137.0,105.0,111.0,174.0,245.0,277.0,379.0,309.0,280.0,357.0,C.I.S.,Import,Semi-finished and Finished Steel
Turkmenistan,758.0,482.0,575.0,1172.0,1014.0,1004.0,798.0,550.0,233.0,234.0,C.I.S.,Import,Semi-finished and Finished Steel
Ukraine,1008.0,1793.0,1981.0,1876.0,1767.0,1202.0,804.0,1138.0,1401.0,1582.0,C.I.S.,Import,Semi-finished and Finished Steel
Uzbekistan,871.0,633.0,622.0,819.0,1160.0,1252.0,1160.0,1127.0,1727.0,2000.0,C.I.S.,Import,Semi-finished and Finished Steel
Canada,6217.0,9331.0,10903.0,9618.0,8895.0,10293.0,8021.0,7727.0,8809.0,9110.0,North America,Import,Semi-finished and Finished Steel
Costa Rica,275.0,298.0,461.0,411.0,417.0,446.0,504.0,786.0,875.0,901.0,North America,Import,Semi-finished and Finished Steel
Cuba,137.0,175.0,216.0,171.0,187.0,131.0,272.0,187.0,174.0,145.0,North America,Import,Semi-finished and Finished Steel
Dominican Republic,668.0,683.0,603.0,491.0,583.0,734.0,829.0,827.0,859.0,1062.0,North America,Import,Semi-finished and Finished Steel
El Salvador,95.0,162.0,174.0,197.0,262.0,246.0,313.0,367.0,389.0,397.0,North America,Import,Semi-finished and Finished Steel
Guatemala,343.0,430.0,547.0,441.0,548.0,649.0,920.0,935.0,859.0,783.0,North America,Import,Semi-finished and Finished Steel
Honduras,100.0,105.0,196.0,266.0,230.0,270.0,306.0,300.0,399.0,362.0,North America,Import,Semi-finished and Finished Steel
Jamaica,68.0,69.0,79.0,125.0,100.0,142.0,158.0,133.0,191.0,159.0,North America,Import,Semi-finished and Finished Steel
Mexico,4858.0,6732.0,6846.0,9266.0,8117.0,9111.0,10031.0,9679.0,11625.0,10995.0,North America,Import,Semi-finished and Finished Steel
Nicaragua,77.0,52.0,72.0,95.0,73.0,112.0,171.0,223.0,160.0,130.0,North America,Import,Semi-finished and Finished Steel
Panama,354.0,439.0,542.0,442.0,585.0,725.0,590.0,580.0,566.0,526.0,North America,Import,Semi-finished and Finished Steel
Trinidad and Tobago,311.0,145.0,140.0,178.0,193.0,256.0,231.0,222.0,230.0,215.0,North America,Import,Semi-finished and Finished Steel
United States,15342.0,22510.0,26590.0,30886.0,29812.0,41369.0,36485.0,30913.0,35366.0,31726.0,North America,Import,Semi-finished and Finished Steel
Other North America,993.0,653.0,188.0,163.0,195.0,179.0,258.0,277.0,312.0,279.0,North America,Import,Semi-finished and Finished Steel
Argentina,671.0,1261.0,1272.0,1315.0,1152.0,920.0,1195.0,772.0,1556.0,843.0,South America,Import,Semi-finished and Finished Steel
Bolivia,300.0,370.0,380.0,381.0,421.0,464.0,428.0,509.0,497.0,497.0,South America,Import,Semi-finished and Finished Steel
Brazil,2357.0,5904.0,3783.0,3777.0,3683.0,3947.0,3195.0,1864.0,2313.0,2373.0,South America,Import,Semi-finished and Finished Steel
