Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Unit,Type
Other Middle East,7,7,3,20,14,18,7,7,11,12,Other Middle East,thousand metric tons,crude steel equivalent
Bangladesh,1784,1982,2138,2467,2616,2907,4353,4310,2929,3433,Asia,thousand metric tons,crude steel equivalent
China,574420,612063,667941,687609,772340,740380,700350,709400,806080,869750,Asia,thousand metric tons,crude steel equivalent
"Hong Kong, China",1703,1929,1886,1991,2436,2727,3776,2482,2342,2202,Asia,thousand metric tons,crude steel equivalent
India,64360,69082,73154,77436,80656,87086,89256,94502,100892,104502,Asia,thousand metric tons,crude steel equivalent
Indonesia,8908,10744,13148,15006,15237,15483,13656,15214,16318,18107,Asia,thousand metric tons,crude steel equivalent
Japan,56000,67400,69600,68800,70800,72900,67852,67469,70125,71256,Asia,thousand metric tons,crude steel equivalent
North Korea,1330,1279,1373,1350,1352,1407,1507,1522,1441,1237,Asia,thousand metric tons,crude steel equivalent
South Korea,47303,54573,58741,56322,53919,57834,58125,59450,58670,55950,Asia,thousand metric tons,crude steel equivalent
Malaysia,7727,9668,9578,10374,11685,11720,11628,11925,10980,11368,Asia,thousand metric tons,crude steel equivalent
Mongolia,133,133,317,377,464,480,366,212,273,400,Asia,thousand metric tons,crude steel equivalent
Myanmar,876,991,1292,1549,1554,2317,2605,2560,2159,2238,Asia,thousand metric tons,crude steel equivalent
Pakistan,2620,2174,3189,3788,4210,4820,6464,8118,9005,7864,Asia,thousand metric tons,crude steel equivalent
Philippines,3993,4650,5940,6986,7796,8517,10186,11253,11418,12472,Asia,thousand metric tons,crude steel equivalent
Singapore,3540,3350,4900,4782,5345,4791,5019,3540,3400,3628,Asia,thousand metric tons,crude steel equivalent
Sri Lanka,423,517,580,664,638,731,1028,1153,1117,1060,Asia,thousand metric tons,crude steel equivalent
"Taiwan, China",13530,21350,21715,21332,22285,23469,21032,21932,21206,21423,Asia,thousand metric tons,crude steel equivalent
Thailand,12501,16378,16881,19047,20732,22382,21103,24159,22137,22367,Asia,thousand metric tons,crude steel equivalent
Viet Nam,12700,12293,11276,12740,13685,16226,20510,25088,24311,25070,Asia,thousand metric tons,crude steel equivalent
Other Asia,393,1461,2597,1078,821,1293,1066,2154,3010,3166,Asia,thousand metric tons,crude steel equivalent
Australia,5916,7716,6672,7152,6376,7142,6967,6477,6025,6091,Oceania,thousand metric tons,crude steel equivalent
New Zealand,740,971,931,974,1016,1140,895,837,873,903,Oceania,thousand metric tons,crude steel equivalent
Other Oceania,244,310,649,574,323,309,348,368,349,307,Oceania,thousand metric tons,crude steel equivalent
